Acc is 0, index 0, instruction acc, value -7
Acc is -7, index 1, instruction acc, value 2
Acc is -5, index 2, instruction acc, value 20
Acc is 15, index 3, instruction acc, value 14
Acc is 29, index 4, instruction jmp, value 191
Acc is 29, index 195, instruction acc, value 27
Acc is 56, index 196, instruction acc, value 31
Acc is 87, index 197, instruction nop, value -29
Acc is 87, index 198, instruction jmp, value 1
Acc is 87, index 199, instruction jmp, value 250
Acc is 87, index 449, instruction jmp, value -153
Acc is 87, index 296, instruction acc, value 11
Acc is 98, index 297, instruction acc, value -18
Acc is 80, index 298, instruction jmp, value -186
Acc is 80, index 112, instruction acc, value -6
Acc is 74, index 113, instruction nop, value 494
Acc is 74, index 114, instruction acc, value -9
Acc is 65, index 115, instruction jmp, value -63
Acc is 65, index 52, instruction acc, value 36
Acc is 101, index 53, instruction acc, value -12
Acc is 89, index 54, instruction jmp, value 50
Acc is 89, index 104, instruction nop, value 178
Acc is 89, index 105, instruction acc, value 12
Acc is 101, index 106, instruction acc, value 45
Acc is 146, index 107, instruction jmp, value 461
Acc is 146, index 568, instruction acc, value 38
Acc is 184, index 569, instruction nop, value -425
Acc is 184, index 570, instruction jmp, value -440
Acc is 184, index 130, instruction acc, value 20
Acc is 204, index 131, instruction acc, value 25
Acc is 229, index 132, instruction jmp, value 425
Acc is 229, index 557, instruction acc, value -12
Acc is 217, index 558, instruction acc, value 22
Acc is 239, index 559, instruction acc, value 27
Acc is 266, index 560, instruction jmp, value -176
Acc is 266, index 384, instruction acc, value 0
Acc is 266, index 385, instruction jmp, value -211
Acc is 266, index 174, instruction acc, value 32
Acc is 298, index 175, instruction acc, value 38
Acc is 336, index 176, instruction acc, value 2
Acc is 338, index 177, instruction jmp, value -93
Acc is 338, index 84, instruction acc, value 34
Acc is 372, index 85, instruction jmp, value 515
Acc is 372, index 600, instruction jmp, value 1
Acc is 372, index 601, instruction nop, value 43
Acc is 372, index 602, instruction jmp, value -65
Acc is 372, index 537, instruction nop, value -528
Acc is 372, index 538, instruction jmp, value -495
Acc is 372, index 43, instruction nop, value 17
Acc is 372, index 44, instruction acc, value 25
Acc is 397, index 45, instruction acc, value -15
Acc is 382, index 46, instruction jmp, value 285
Acc is 382, index 331, instruction acc, value 46
Acc is 428, index 332, instruction acc, value -9
Acc is 419, index 333, instruction jmp, value -174
Acc is 419, index 159, instruction jmp, value 1
Acc is 419, index 160, instruction acc, value 20
Acc is 439, index 161, instruction acc, value 4
Acc is 443, index 162, instruction acc, value 25
Acc is 468, index 163, instruction jmp, value -87
Acc is 468, index 76, instruction acc, value -18
Acc is 450, index 77, instruction acc, value 15
Acc is 465, index 78, instruction acc, value -8
Acc is 457, index 79, instruction acc, value -3
Acc is 454, index 80, instruction jmp, value 46
Acc is 454, index 126, instruction nop, value 402
Acc is 454, index 127, instruction jmp, value 381
Acc is 454, index 508, instruction jmp, value -200
Acc is 454, index 308, instruction jmp, value 152
Acc is 454, index 460, instruction acc, value -11
Acc is 443, index 461, instruction nop, value 82
Acc is 443, index 462, instruction acc, value 7
Acc is 450, index 463, instruction acc, value 40
Acc is 490, index 464, instruction jmp, value 79
Acc is 490, index 543, instruction acc, value -2
Acc is 488, index 544, instruction acc, value 41
Acc is 529, index 545, instruction jmp, value -475
Acc is 529, index 70, instruction acc, value -4
Acc is 525, index 71, instruction jmp, value 292
Acc is 525, index 363, instruction acc, value -5
Acc is 520, index 364, instruction jmp, value -304
Acc is 520, index 60, instruction jmp, value 1
Acc is 520, index 61, instruction nop, value 210
Acc is 520, index 62, instruction acc, value -15
Acc is 505, index 63, instruction acc, value -6
Acc is 499, index 64, instruction jmp, value 446
Acc is 499, index 510, instruction acc, value 8
Acc is 507, index 511, instruction acc, value 48
Acc is 555, index 512, instruction acc, value 15
Acc is 570, index 513, instruction acc, value 0
Acc is 570, index 514, instruction jmp, value -493
Acc is 570, index 21, instruction acc, value 15
Acc is 585, index 22, instruction jmp, value 452
Acc is 585, index 474, instruction acc, value 0
Acc is 585, index 475, instruction acc, value 4
Acc is 589, index 476, instruction jmp, value 20
Acc is 589, index 496, instruction jmp, value -67
Acc is 589, index 429, instruction acc, value 48
Acc is 637, index 430, instruction acc, value -3
Acc is 634, index 431, instruction jmp, value -55
Acc is 634, index 376, instruction acc, value 24
Acc is 658, index 377, instruction acc, value -10
Acc is 648, index 378, instruction acc, value 21
Acc is 669, index 379, instruction jmp, value -97
Acc is 669, index 282, instruction acc, value -14
Acc is 655, index 283, instruction acc, value 38
Acc is 693, index 284, instruction acc, value 50
Acc is 743, index 285, instruction acc, value -7
Acc is 736, index 286, instruction jmp, value 197
Acc is 736, index 483, instruction acc, value 29
Acc is 765, index 484, instruction acc, value -13
Acc is 752, index 485, instruction jmp, value 77
Acc is 752, index 562, instruction acc, value -15
Acc is 737, index 563, instruction acc, value 14
Acc is 751, index 564, instruction acc, value 30
Acc is 781, index 565, instruction acc, value 0
Acc is 781, index 566, instruction jmp, value -363
Acc is 781, index 203, instruction jmp, value 72
Acc is 781, index 275, instruction acc, value -2
Acc is 779, index 276, instruction jmp, value -265
Acc is 779, index 11, instruction acc, value 24
Acc is 803, index 12, instruction jmp, value 220
Acc is 803, index 232, instruction jmp, value 80
Acc is 803, index 312, instruction jmp, value 102
Acc is 803, index 414, instruction acc, value 5
Acc is 808, index 415, instruction acc, value 45
